vous	v u
où	u
parce	p a ʁ s
pauvre	p o v ʁ
permetstu	p ɛ ʁ m s t y
permetstu	p ɛ ʁ m ɛ s t y
permetstu	p ɛ ʁ m ɛ t s t y
permetstu	p ɛ ʁ m ɛ t y
plus	p l y
pourquoi	p u ʁ k w a
puisque	p ɥ i s k
précisez	p ʁ e s i z e
tous	t u s
qu'en	k ɑ̃
toute	t u t
qu'estil	c t i l
qu'estil	c ɛ s t i l
qu'estil	k t i
qu'estil	k t i l
qu'estil	k ɛ s t i
qu'estil	k ɛ s t i l
qu'estil	k ɛ s t j
père	p ɛ ʁ
tu	t y
qui	c i
qui	k ɥ i
qu'estce	c t ɛ s
qu'estce	k s
qu'estce	k t ɛ s
tutoyezvous	t y t w a j e v u
que	k
que	k ə
quelle	c ɛ l
quoi	k w a
rechargez	ʁ ə ʃ a ʁ ʒ e
veuxtu	v ø z ɛ t y
reproches	ʁ ə p ʁ ɔ ʃ
regarde	ʁ ə ɡ a ʁ d
rentre	ʁ ɑ̃ t ʁ
rester	ʁ ɛ s t e
vive	v i v
rien	ʁ j ɛ̃
voici	v w a s i
voilà	v w a l a
s'il	s i l
voistu	v w a s t y
voistu	v w a z a t y
voistu	v w a z i s t y
voistu	v w a z t y
voistu	v w e s t y
voistu	v w s t y
voistu	v w ɑ s t y
voistu	v w ɑ t y
saistu	e s t y
sans	s ɑ̃
voulezvous	v u l e v u
a	a
a	ɑ
si	s i
atelle	a t ɛ l
aton	a t ɔ n
aton	a t ɔ̃
seulement	s œ l m ɑ̃
six	s i
abaissa	a b ɛ s a
son	s ɔ̃
sois	s w a
soit	s w a
abaissant	a b ɛ s a e s ɑ̃
abaissant	a b ɛ s a s ɑ̃
abaissant	a b ɛ s a ɑ̃
abaissant	a b ɛ s a ɛ s ɑ̃
abaissant	a b ɛ s ɑ̃
abaissant	a b ɛ s ɛ e s ɑ̃
abaissant	a b ɛ s ɛ ɛ s ɑ̃
soyez	s w a j e
tandis	t ɑ̃ d i
thénardier	t e n a ʁ d j e
souriez	s u ʁ j e
abandonnait	a b ɑ̃ d ɔ n ɛ
toi	t w a
te	t
te	t e
te	t ə
abandonne	a b ɑ̃ d ɔ n
abandonner	a b ɑ̃ d ɔ n e
ton	t ɔ̃
abandonné	a b ɑ̃ d ɔ n e
toujours	t u ʒ u ʁ
trop	t ʁ o
trop	t ʁ ɔ p
tâche	t a ʃ
tâche	t ɑ ʃ
abandonnée	a b ɑ̃ d ɔ n e
un	ɛ̃
abandonnés	a b ɑ̃ d ɔ n e
une	y n
une	y n e
tout	t u
abasourdi	a b a z u ʁ d i
vendonsnous	v ɑ̃ d ɔ̃ n u
trentequatre	t ʁ ɛ n t e k a t
votre	v ɔ t ʁ
abatjour	a b a t a ʒ u ʁ
abatjour	a b a ʒ u ʁ
abatjour	a b ɑ ʒ u ʁ
abatjour	a b ʒ u ʁ
abattre	a b a t ʁ
voleur	v ɔ l œ ʁ
voyez	v w a j e
abattu	a b a t y
à	a
abdication	a b d i k a s j ɔ̃
abeilles	a b ɛ j
waterloo	w a t ɛ ʁ l o
l'agentdepolicejavertaététrouvénoyésousunbateaudupontauchange	l a dʒ d ə p ɔ ʎ i s ʒ a v ɛ ʁ t a e t e t ʁ u v e n w a j e z u y ɛ̃ b a t o d y p ɔ̃ t o ʃ ɑ̃ ʒ
l'agentdepolicejavertaététrouvénoyésousunbateaudupontauchange	l a dʒ d ə p ɔ ʎ i s ʒ a v ɛ ʁ t a e t e t ʁ u v e n w a j e z u z y n b a t o d y p ɔ̃ t o ʃ ɑ̃ ʒ
l'agentdepolicejavertaététrouvénoyésousunbateaudupontauchange	l a dʒ d ə p ɔ ʎ i s ʒ a v ɛ ʁ t a e t e t ʁ u v e n w a j e z u ɛ̃ b a t o d y p ɔ̃ t o ʃ ɑ̃ ʒ
l'agentdepolicejavertaététrouvénoyésousunbateaudupontauchange	l a dʒ d ə p ɔ ʎ i ʒ a v ɛ ʁ t a e t e t ʁ u v e n w a j e z u y ɛ̃ b a t o d y p ɔ̃ t o ʃ ɑ̃ ʒ
l'agentdepolicejavertaététrouvénoyésousunbateaudupontauchange	l a ʒ d ə p ɔ ʎ i s ʒ a v ɛ ʁ t a e t e t ʁ u v e n w a j e z u y ɛ̃ b a t o d y p ɔ̃ t o ʃ ɑ̃ ʒ
l'agentdepolicejavertaététrouvénoyésousunbateaudupontauchange	l a ʒ d ə p ɔ ʎ i s ʒ a v ɛ ʁ t a e t e t ʁ u v e n w a j e z u z y n b a t o d y p ɔ̃ t o ʃ ɑ̃ ʒ
l'agentdepolicejavertaététrouvénoyésousunbateaudupontauchange	l a ʒ d ə p ɔ ʎ i s ʒ a v ɛ ʁ t a e t e t ʁ u v e n w a j e z u ɛ̃ b a t o d y p ɔ̃ t o ʃ ɑ̃ ʒ
l'agentdepolicejavertaététrouvénoyésousunbateaudupontauchange	l a ʒ d ə p ɔ ʎ i ʒ a v ɛ ʁ t a e t e t ʁ u v e n w a j e z u y ɛ̃ b a t o d y p ɔ̃ t o ʃ ɑ̃ ʒ
l'agentdepolicejavertaététrouvénoyésousunbateaudupontauchange	l a ʒ ɛ̃ d ə p ɔ ʎ i s ʒ a v ɛ ʁ t a e t e t ʁ u v e n w a j e z u y ɛ̃ b a t o d y p ɔ̃ t o ʃ ɑ̃ ʒ
l'agentdepolicejavertaététrouvénoyésousunbateaudupontauchange	l a ʒ ɛ̃ d ə p ɔ ʎ i s ʒ a v ɛ ʁ t a e t e t ʁ u v e n w a j e z u z y n b a t o d y p ɔ̃ t o ʃ ɑ̃ ʒ
l'agentdepolicejavertaététrouvénoyésousunbateaudupontauchange	l a ʒ ɛ̃ d ə p ɔ ʎ i s ʒ a v ɛ ʁ t a e t e t ʁ u v e n w a j e z u ɛ̃ b a t o d y p ɔ̃ t o ʃ ɑ̃ ʒ
l'agentdepolicejavertaététrouvénoyésousunbateaudupontauchange	l a ʒ ɛ̃ d ə p ɔ ʎ i ʒ a v ɛ ʁ t a e t e t ʁ u v e n w a j e z u y ɛ̃ b a t o d y p ɔ̃ t o ʃ ɑ̃ ʒ
l'agentdepolicejavertaététrouvénoyésousunbateaudupontauchange	l ʒ ɛ̃ d ə p ɔ ʎ i s ʒ a v ɛ ʁ t a e t e t ʁ u v e n w a j e z u y ɛ̃ b a t o d y p ɔ̃ t o ʃ ɑ̃ ʒ
l'agentdepolicejavertaététrouvénoyésousunbateaudupontauchange	l ʒ ɛ̃ d ə p ɔ ʎ i s ʒ a v ɛ ʁ t a e t e t ʁ u v e n w a j e z u z y n b a t o d y p ɔ̃ t o ʃ ɑ̃ ʒ
l'agentdepolicejavertaététrouvénoyésousunbateaudupontauchange	l ʒ ɛ̃ d ə p ɔ ʎ i s ʒ a v ɛ ʁ t a e t e t ʁ u v e n w a j e z u ɛ̃ b a t o d y p ɔ̃ t o ʃ ɑ̃ ʒ
l'agentdepolicejavertaététrouvénoyésousunbateaudupontauchange	l ʒ ɛ̃ d ə p ɔ ʎ i ʒ a v ɛ ʁ t a e t e t ʁ u v e n w a j e z u y ɛ̃ b a t o d y p ɔ̃ t o ʃ ɑ̃ ʒ
abel	a b ɛ l
acculé	a k y l e
accumule	a k y m y l
accusateur	a k y z a t œ ʁ
accuse	a k y z
accuser	a k y z e
accusez	a k y z e
accès	a k s ɛ
acharnée	a ʃ a ʁ n e
abjectes	a b ʒ ɛ k t
acharnés	a ʃ a ʁ n e
ablère	a b l ɛ ʁ
acheter	a ʃ t e
atil	a t i
atil	a t i l
acheté	a ʃ t e
abaissait	a b ɛ s a i s ɛ
aboiements	a b w a m ɑ̃
achevaient	a ʃ v ɛ
achevé	a ʃ v e
abaisse	a b ɛ s
achille	a ʃ i l
abominable	a b ɔ m i n a b l
abaissement	a b e s m ɑ̃
abaissement	a b ɛ s m ɑ̃
acier	a s j e
abondaient	a b ɔ̃ d ɛ
abandonnant	a b ɑ̃ d ɔ n ɑ̃
acoustique	a k u s t i k
acquis	a c i
abondance	a b ɔ̃ d ɑ̃ s
acquise	a c i z
abondantes	a b ɔ̃ d ɑ̃ t
acte	a k t
abarbarée	a b a ʁ b a ʁ e
abondèrent	a b ɔ̃ d ɛ ʁ
actes	a k t
action	a k s j ɔ̃
aborder	a b ɔ ʁ d e
abattant	a b a t ɑ̃
abouti	a b u t i
actionnaires	a k s j ɔ n ɛ ʁ
aboutir	a b u t i ʁ
abattue	a b a t y
actuellement	a k t ɥ ɛ l m ɑ̃
aboutissaient	a b u t i s ɛ
abdique	a b d i k
adjacente	a dʒ a s ɑ̃ t
admettiez	a d m ɛ t j e
abdiquer	a b d i c e
admettre	a d m ɛ t ʁ
aboutissait	a b u t i s ɛ
administratif	a d m i ɲ i s t ʁ a t i f
aboutisse	a b u t i s
abject	a b ʒ ɛ k t
admirable	a d m i ʁ a b l
aboyés	a b w a j e
ablutions	a b l y s j ɔ̃
abri	a b ʁ i
aboie	a b w a
admirables	a d m i ʁ a b l
abrite	a b ʁ i t
admirait	a d m i ʁ ɛ
abritées	a b ʁ i t e
admiration	a d m i ʁ a s j ɔ̃
abrégée	a b ʁ e ʒ e
abominablement	a b ɔ m i n a b l ə m ɑ̃
admirés	a d m i ʁ e
absence	a p s ɑ̃ s
abondait	a b ɔ̃ d ɛ
admissible	a d m i s i b l
adoniser	a d ɔ ɲ i z e
absent	a p s ɑ̃
abondent	a b ɔ̃ d
adopté	a d ɔ p t e
abondé	a b ɔ̃ d e
absentée	a p s ɑ̃ t e
abord	a b ɔ ʁ
adorables	a d ɔ ʁ a b l
absolu	a p s ɔ l y
adorer	a d ɔ ʁ e
absolue	a p s ɔ l y
aborda	a b ɔ ʁ d a
adorezvous	a d ɔ ʁ e v u
abords	a b ɔ ʁ
adressant	a d ʁ ɑ̃
adressant	a d ʁ ɛ s ɑ̃
absolument	a p s ɔ l y m ɑ̃
abordé	a b ɔ ʁ d e
adresse	a d ʁ ɛ s
absorbant	a p s ɔ ʁ b ɑ̃
abordée	a b ɔ ʁ d e
adresses	a d ʁ ɛ s
absorbé	a p s ɔ ʁ b e
adroit	a d ʁ w a
absorbés	a p s ɔ ʁ b e
aboutiraitil	a b u t i ʁ e t i
aboutiraitil	a b u t i ʁ ɛ t i
adversaire	a d v ɛ ʁ s ɛ ʁ
abstraction	a p s t ʁ a k s j ɔ̃
adversaires	a d v ɛ ʁ s ɛ ʁ
abus	a b y
aboutit	a b u t i
advint	a d v ɛ̃
affable	a f a b l
abuser	a b y z e
aboyeurs	a b w a j œ ʁ
affaire	a f ɛ ʁ
abîmant	a b i m ɑ̃
affaires	a f ɛ ʁ
abîme	a b i m
abrité	a b ʁ i t e
abrupt	a b ʁ y p t
abîmes	a b i m
affectait	a f ɛ k t ɛ
abrégeons	a b ʁ e ʒ ɔ̃
abîmé	a b i m e
affermissement	a f ɛ ʁ m i s m ɑ̃
abîmée	a b i m e
affirmons	a f i ʁ m ɔ̃
absences	a p s ɑ̃ s
académie	a k a d e m i
afflictions	a f ʎ i k s j ɔ̃
acajou	a k a ʒ u
accablait	a k ɑ b l ɛ
accablement	a k a b l ə m ɑ̃
accablement	a k ɑ b l ə m ɑ̃
affreuse	a f ʁ ø z
affreux	a f ʁ ø
absents	a p s ɑ̃
accablé	a k ɑ b l e
affrontant	a f ʁ ɔ̃ t ɑ̃
accent	a k s ɑ̃
agacé	a ɡ a s e
agent	a ʒ
agent	a ʒ ɑ̃
agents	a ʒ ɑ̃
agi	a ʒ i
accentué	a k s ɑ̃ t ɥ e
agilité	a ʒ i ʎ i t e
accentuée	a k s ɑ̃ t ɥ e
absorbants	a p s ɔ ʁ b ɑ̃
agissons	a ʒ i s ɔ̃
acceptatil	a k s ɛ p t a t i
acceptatil	a k s ɛ p t a t i l
absorption	a p s ɔ ʁ p s j ɔ̃
agit	a ʒ i
acceptable	a k s ɛ p t a b l
absurde	a p s y ʁ d
acceptait	a k s ɛ p t ɛ
absurdités	a p s y ʁ d i t e
agita	a ʒ i t a
abusée	a b y z e
acceptations	a k s ɛ p t a s j ɔ̃
agitation	a ʒ i t a s j ɔ̃
accepterait	a k s ɛ p t ə ʁ e
accepterait	a k s ɛ p t ə ʁ ɛ
agité	a ʒ i t e
acceptez	a k s ɛ p t e
accepté	a k s ɛ p t e
acceptées	a k s ɛ p t e
accident	a k s i d
accident	a k s i d ɑ̃
accidentaient	a k s i d ɑ̃ t ɛ
accompagna	a k ɔ̃ p a ɲ a
accompagne	a k ɔ̃ p a ɲ
accompagnez	a k ɔ̃ p a ɲ e
accompagnée	a k ɔ̃ p a ɲ e
accompli	a k ɔ̃ p ʎ i
accomplir	a k ɔ̃ p ʎ i ʁ
accomplis	a k ɔ̃ p ʎ i
agitée	a ʒ i t e
ac	a k
accomplissait	a k ɔ̃ p ʎ i s ɛ
accomplissent	a k ɔ̃ p ʎ i s
académicien	a k a d e m i s j ɛ̃
agonie	a ɡ ɔ ɲ i
accordezmoi	a k ɔ ʁ d e m w a
accablants	a k ɑ b l ɑ̃
agonisante	a ɡ ɔ ɲ i z ɑ̃ t
accoudé	a k u d e
accablent	a k ɑ b l
agonisants	a ɡ ɔ ɲ i z ɑ̃
accouru	a k u ʁ y
accourut	a k u ʁ y
accoutumés	a k u t y m e
accentuation	a k s ɑ̃ t ɥ a s j ɔ̃
accentués	a k s ɑ̃ t ɥ e
acceptaient	a k s ɛ p t ɛ
accrocher	a k ʁ ɔ ʃ e
acceptant	a k s ɛ p t ɑ̃
agonisé	a ɡ ɔ ɲ i z e
accrochée	a k ʁ ɔ ʃ e
accepte	a k s ɛ p t
agresseur	a ɡ ʁ ɛ s œ ʁ
agression	a ɡ ʁ e s j ɔ̃
agression	a ɡ ʁ ɛ s j ɔ̃
agréable	a ɡ ʁ e a b l
agrégation	a ɡ ʁ e ɡ a s j ɔ̃
aguets	a ɟ ɛ
ahuri	a y ʁ i
ahurissement	a y ʁ i s m ɑ̃
accrochés	a k ʁ ɔ ʃ e
accepter	a k s ɛ p t e
aider	ɛ d e
accroire	a k ʁ w a ʁ
aides	ɛ d
accueillie	a k œ j i
acception	a k s ɛ p s j ɔ̃
acceptée	a k s ɛ p t e
accessoire	a k s e s w a ʁ
accessoire	a k s ɛ s w a ʁ
accidents	a k s i d ɑ̃
accumulation	a k y m y l a s j ɔ̃
acclamation	a k l a m a s j ɔ̃
aidée	ɛ d e
accusation	a k y z a s j ɔ̃
accompagnaient	a k ɔ̃ p a ɲ ɛ
aies	ɛ
accompagnera	a k ɔ̃ p a ɲ ə ʁ a
aigle	ɛ ɡ l
accusés	a k y z e
accompagné	a k ɔ̃ p a ɲ e
aigu	e ɡ y
aigu	ɛ ɡ y
accéder	a k s e d e
acheta	a ʃ t a
aiguilles	e ɡ ɥ i j
aiguilles	ɛ ɡ ɥ i j
achetée	a ʃ t e
accompagnés	a k ɔ̃ p a ɲ e
ailes	ɛ l
achevant	a ʃ v ɑ̃
aille	a j
achevez	a ʃ v e
accomplira	a k ɔ̃ p ʎ i ʁ a
ailleurs	a j œ ʁ
ailleurs	a ʎ œ ʁ
ailleurs	a ʎ ɔ ʁ
achevées	a ʃ v e
accomplissement	a k ɔ̃ p ʎ i s m ɑ̃
aimable	ɛ m a b l
aimant	ɛ m ɑ̃
accomplit	a k ɔ̃ p ʎ i
aime	ɛ m
achètent	a ʃ ɛ t
acolytes	a k ɔ ʎ i t
accorde	a k ɔ ʁ d
acquiescement	a c s m ɑ̃
accostée	a k ɔ s t e
actions	a k s j ɔ̃
accouda	a k u d a
active	a k t i v
aimer	ɛ m e
accoupler	a k u p l e
actuel	a k t ɥ ɛ l
aimera	ɛ m ʁ a
aimezvous	ɛ m e v u
aimé	e m e
aimé	ɛ m e
actuelle	a k t ɥ ɛ l
airs	ɛ ʁ
accoutumé	a k u t y m e
actuels	a k t ɥ ɛ l
aise	ɛ z
accrocha	a k ʁ ɔ ʃ a
adapta	a d a p t a
adaptations	a d a p t a s j ɔ̃
admet	a d m ɛ
admettezvous	a d m ɛ t e v u
administrativement	a d m i ɲ i s t ʁ a t i v m ɑ̃
accroché	a k ʁ ɔ ʃ e
accrochées	a k ʁ ɔ ʃ e
accroupi	a k ʁ u p i
admirer	a d m i ʁ e
aisselles	l
aisselles	s ɛ l
aisselles	ɛ s ɛ l
aisément	ɛ z e m ɑ̃
ajouta	a ʒ u t a
ajoutaient	a ʒ u t ɛ
ajoutez	a ʒ u t e
ajoutons	a ʒ u t ɔ̃
ajusta	a ʒ y s t a
accueillit	a k œ j i
adoptait	a d ɔ p t ɛ
album	a l b ɔ m
acculés	a k y l e
adoptée	a d ɔ p t e
alcippe	a l s i p
alcôve	a l k o v
aldebaran	a l d ə b a ʁ ɑ̃
alentours	a l ɑ̃ t u ʁ
alexandre	a l ɛ k s ɑ̃ d ʁ
accumuler	a k y m y l e
alice	a ʎ i s
adorait	a d ɔ ʁ ɛ
adoration	a d ɔ ʁ a s j ɔ̃
adorée	a d ɔ ʁ e
aligna	a ʎ i ɲ a
adossée	a d ɔ s e
allait	a l ɛ
allaitil	a l e t i
allaitil	a l ɛ t i
allaitil	a l ɛ t i l
accusezvous	a k y e v u
accusezvous	a k y z e v u
allant	a l ɑ̃
allemagne	a l m a ɲ
achats	a ʃ a
acheva	a ʃ v a
achevait	a ʃ v ɛ
aller	a l e
adressée	a d ʁ ɛ s e
achever	a ʃ v e
achevée	a ʃ v e
achète	a ʃ ɛ t
alliez	a j e
alliez	a ʎ e
achèterez	a ʃ ɛ t ʁ e
affectation	a f ɛ k t a s j ɔ̃
affiches	a f i ʃ
acoustiques	a k u s t i k
allonger	a l ɔ̃ ʒ e
affirma	a f i ʁ m a
allonsy	a l ɔ̃ s i
affirmatif	a f i ʁ m a t i f
alluma	a l y m a
affirmèrent	a f i ʁ m ɛ ʁ
affreusement	a f ʁ ø z m ɑ̃
affublait	a f y b l ɛ
allumait	a l y m ɛ
agamemnon	a ɡ a m ɛ m n ɔ̃
allumette	a l y m ɛ t
acteur	a k t œ ʁ
allumé	a l y m e
agile	a ʒ i l
allumée	a l y m e
allumés	a l y m e
allures	a l y ʁ
allègre	a l ɛ ɡ ʁ
allé	a l e
allées	a l e
allégrement	a l e ɡ ʁ m ɑ̃
allés	a l e
agir	a ʒ i ʁ
alternaient	a l t ɛ ʁ n ɛ
agissaitil	a ʒ i s e t i
alternées	a l t ɛ ʁ n e
agitait	a ʒ i t ɛ
adhésion	a d e z j ɔ̃
altéré	a l t e ʁ e
alvéole	a l v e ɔ l
amabilités	a m a b i ʎ i t e
amant	a m ɑ̃
amants	a m ɑ̃
adjoint	a dʒ w ɛ̃
amarrés	a m a ʁ e
admettant	a d m ɛ t ɑ̃
agonisaient	a ɡ ɔ ɲ i z ɛ
agonise	a ɡ ɔ ɲ i z
amateur	a m a t œ ʁ
admettons	a d m ɛ t ɔ̃
agrafes	a ɡ ʁ a f
ambassadeur	ɑ̃ b a s a d œ ʁ
amelot	a m l o
administrative	a d m i ɲ i s t ʁ a t i v
amenaient	a m n ɛ
amené	a m ɛ n e
amertume	a m ɛ ʁ t y m
amie	a m i
amis	a m i
amitiés	a m i t j e
amollir	a m ɔ ʎ i ʁ
amoncelés	a m ɔ̃ e
amoncelés	a m ɔ̃ s l e
admirablement	a d m i ʁ a b l ə m ɑ̃
agresseurs	a ɡ ʁ ɛ s œ ʁ
admire	a d m i ʁ
amortie	a m ɔ ʁ t i
agrestes	a ɡ ʁ ɛ s t
admirerait	a d m i ʁ ə ʁ e
admirerait	a d m i ʁ ə ʁ ɛ
adolescent	a d ɔ l ɛ s ɑ̃
adorablement	a d ɔ ʁ a b l ə m ɑ̃
adossé	a d ɔ s e
agrée	a ɡ ʁ e
agréetelle	a ɡ ʁ e t ɛ l
ahuris	a y ʁ i
aida	ɛ d a
aidant	ɛ d ɑ̃
aide	ɛ d
adressa	a d ʁ e s a
adressa	a d ʁ ɛ s a
aidezmoi	ɛ d e m w a
amourpropre	a m u ʁ p ʁ ɔ p ʁ
aigles	ɛ ɡ l
amoureusement	a m u ʁ ø z m ɑ̃
adresser	a d ʁ e s e
adresser	a d ʁ ɛ s e
amours	a m u ʁ
adressé	a d ʁ ɛ s e
aiguë	e ɡ y
aiguë	ɛ ɡ y
advenait	a d v ə n ɛ
amphictyons	ɑ̃ f i k t j ɔ̃
aillent	a j
amusant	a m y z ɑ̃
amuse	a m y z
amusement	a m y z m ɑ̃
amèrement	a m ɛ ʁ m ɑ̃
amérique	a m e ʁ i k
an	a n
an	ɑ̃
affaissé	a f e
affaissé	a f e s e
affaissé	a f s e
ailés	ɛ l e
affection	a f ɛ k s j ɔ̃
affinité	a f i ɲ i t e
affirmation	a f i ʁ m a s j ɔ̃
affluent	a f l y
affluent	a f l y ɑ̃
affolement	a f ɔ l m ɑ̃
analyse	a n a ʎ i z
anceau	ɑ̃ s o
affriande	a f ʁ i j ɑ̃ d
aimait	ɛ m ɛ
aimantation	ɛ m ɑ̃ t a s j ɔ̃
affût	a f y
ancienne	ɑ̃ s j ɛ n
aimez	ɛ m e
affûts	a f y
anciens	ɑ̃ s j ɛ̃
ange	ɑ̃ ʒ
