dijo	d̪ i x o
eogracias	e o ɣ ɾ a θ j a s
ecidido	e θ i ð i ð o
emonio	e m o ɲ j o
esde	e s ð e
eseo	e s e o
espués	e s p w e s
ijeron	i ç e ɾ o n
ominar	o m i n a ɾ
oña	o ɲ a
éjala	e x a l a
éjate	e e i t̪
éjate	e x a t̪ e
ecís	e θ i s
a	a
i	i
entro	e n t̪ ɾ o
escanse	e s k a n s e
ices	i θ e s
ios	i o s
ios	j o s
ios	ɟʝ o s
oce	o θ e
omine	o m i n e
etrás	e t̪ ɾ a s
ile	i l e
ispénseme	i s p e n s e m e
os	o s
r	e r e
r	e ɾ e
r	r
éjame	e x a m e
ímela	i m e l a
fectivamente	f e ɣ t̪ i β a m e n t̪ e
ngañosa	n ɣ a ɲ o s a
ngañosa	ŋ ɡ a ɲ o s a
ntonces	n t̪ o n θ e s
ntré	n t̪ ɾ e
ormía	o r m i a
éjalo	e x a l o
lla	ʎ a
llo	ʎ o
ntró	n t̪ ɾ o
nviar	m b j a ɾ
s	e s e
s	s
sas	s a s
so	s o
spera	e s p e ɾ a
spera	s p e ɾ a
stad	e s t̪ a ð
stad	s t̪ a ð
ste	s t̪
ste	s t̪ e
n	e n e
n	n
ncantada	ŋ k a n t̪ a ð a
éjeme	e ç e m e
ntraremos	n t̪ ɾ a ɾ e m o s
stos	e s t̪ o s
stá	s t̪ a
ran	r a n
sa	s a
se	s e
ncantamientos	ŋ k a n t̪ a m j e n t̪ o s
ra	r a
res	r e s
spaña	e s p a ɲ a
spaña	s p a ɲ a
sta	e s t̪ a
staba	e s t̪ a β a
staba	s t̪ a β a
sto	e s t̪ o
scasa	s k a s a
stán	s t̪ a n
xcelencia	k s θ e l e n θ j a
xcelencia	s θ e l e n θ j a
xcelencia	ɣ θ e l e n θ j a
stoy	e s t̪ o i
uera	w e ɾ a
abriel	a β ɾ j e l
abrielillo	a β ɾ j e l i ʎ o
spero	e s p e ɾ o
spero	s p e ɾ o
stas	e s t̪ a s
racias	r a θ j a s
stemos	s t̪ e m o s
stáis	s t̪ a i s
ablé	a β l e
stúpidos	e s t̪ u p i ð o s
stúpidos	s t̪ u p i ð o s
acéis	a θ e i s
stás	s t̪ a s
rancamente	r a ŋ k a m e n t̪ e
aznápiros	a θ n a p i ɾ o s
randes	r a n d̪ e s
acia	a θ j a
ay	a i
ermana	e r m a n a
ermosas	e r m o s a s
oy	o i
gnoran	n o ɾ a n
gnoran	ɡ n o ɾ a n
nesilla	n e s i ʎ a
ré	r e
an	a n
amás	a m a s
oven	o β e n
uan	u a e n
uan	w a n
ustamente	u s t̪ a m e n t̪ e
as	a s
alta	a l t̪ a
úramelo	u r a m e l o
úramelo	u ɾ a m e l o
levo	l e β o
lámese	l a m e s e
adre	a ð ɾ e
amilia	a m i l j a
emos	e m o s
armont	a r m o n t̪
armont	a r m o ɲ
añana	a ɲ a n a
enguada	e ŋ ɡ w a ð a
ire	i ɾ e
iss	i s
odera	o ð e ɾ a
ermano	e r m a n o
uchacho	u tʃ a tʃ o
ijo	i x o
ucho	u tʃ o
uchísimos	u tʃ i s i m o s
uero	w e ɾ o
ombre	o m b r e
ombre	o m b ɾ e
mpaciente	m p a θ j e n t̪ e
uy	u i
nés	n e s
ás	a s
ablas	a β l a s
ace	a θ e
ambriento	a m b ɾ j e n t̪ o
ija	i x a
ijos	i x o s
eanean	e a n e a n
mposible	m p o s i β l e
ada	a ð a
adie	a ð j e
argo	a r ɣ o
ecio	e θ j o
remos	r e m o s
eñores	e ɲ o ɾ e s
legamos	l e ɣ a m o s
éasela	e a s e l a
éasela	e s e l a
uguetes	u ʝ e t̪ e s
usto	u s t̪ o
inguno	i ŋ ɡ u n o
o	o
es	e s
ones	o n e s
levaban	l e β a β a n
uestro	w e s t̪ ɾ o
ejor	e x o ɾ
il	i l
ira	i ɾ a
iradle	i ɾ a ð l e
oado	o a ð o
oado	w a ð o
uego	w e ɣ o
al	a l
archamos	a r tʃ a m o s
onseigneuripérez	o n s e i n e u ɾ i p e ɾ e θ
entecatos	e n t̪ e k a t̪ o s
oderen	o ð e ɾ e n
ujer	u ç e ɾ
uchachos	u tʃ a tʃ o s
rador	r a ð o ɾ
tras	t̪ ɾ a s
agaré	a ɣ a ɾ e
apoleón	a p o l e o n
arece	a ɾ e θ e
elambrones	e l a m b ɾ o n e s
ermitidmeseñor	e r m i t̪ i ð m e s e ɲ o ɾ
oco	o k o
odéis	o ð e i s
árchate	a r tʃ a t̪ e
or	o ɾ
inguna	i ŋ ɡ u n a
orque	o r c e
osotros	o s o t̪ ɾ o s
iñita	i ɲ i t̪ a
uestros	w e s t̪ ɾ o s
uestras	w e s t̪ ɾ a s
igan	i ɣ a n
recisamente	r e θ i s a m e n t̪ e
uesto	w e s t̪ o
uemad	e m a ð
uemad	u e m a ð
uemad	w e m a ð
ueman	e m a n
ueman	u e m a n
ueman	w e m a n
ueridas	e ɾ i ð a s
ueridas	w e ɾ i ð a s
tra	t̪ ɾ a
ye	ɟʝ e
tro	t̪ ɾ o
uite	w i t̪ e
uizás	i θ a s
uizás	w i θ a s
eferidme	e f e ɾ i ð m e
epita	e p i t̪ a
ara	a ɾ a
asado	a s a ð o
eligrosillo	e l i ɣ ɾ o s i ʎ o
estituta	e s t̪ i t̪ u t̪ a
alabras	a l a β ɾ a s
erdón	e r ð o n
ero	e ɾ o
ieddemouton	ɟʝ i ð e m u t̪ o n
ea	e a
onchú	o n t̪ ʃ u
rendita	r e n d̪ i t̪ a
ermitidme	e r m i t̪ i ð m e
uede	e ð e
uede	w e ð e
eguramente	e ɣ u ɾ a m e n t̪ e
ermítame	e r m i t̪ a m e
icarona	i k a ɾ o n a
obre	o β ɾ e
oca	o k a
odemos	o ð e m o s
refiero	r e f j e ɾ o
rocura	r o k u ɾ a
uedo	e ð o
uedo	w e ð o
ues	u s
ues	w e s
ue	u
ue	w e
uedes	w e ð e s
untualmente	u n t̪ w a l m e n t̪ e
uedarte	e ð a r t̪ e
uedarte	w e ð a r t̪ e
iempre	j e m p ɾ e
ilencio	i l e n θ j o
uerido	w e ɾ i ð o
uita	w i t̪ a
uerida	e ɾ i ð a
uerida	w e ɾ i ð a
uiero	j e ɾ o
uiero	u a ʝ e ɾ o
uisiera	i s j e ɾ a
uisiera	w i s j e ɾ a
eina	e i n a
obrina	o β ɾ i n a
enacuajos	e n a k w a x o s
aldré	a l d̪ ɾ e
osiéguese	o s j e ʝ e s e
uiten	w i t̪ e n
abiando	a β j a n d̪ o
ubiré	u β i ɾ e
upongamos	u p o ŋ ɡ a m o s
ampoco	a m p o k o
eniego	e ɲ j e ɣ o
epito	e p i t̪ o
abe	a β e
alvarme	a l β a r m e
aquemos	a c e m o s
egún	e ɣ u n
ened	e n e ð
enía	e n i a
iene	i e n e
iene	j e n e
eguid	e ʝ i ð
erá	e ɾ a
eñor	e ɲ o ɾ
iénela	j e n e l a
iénela	ɟʝ e n e l a
erán	e ɾ a n
odavía	o ð a β i a
odos	o ð o s
eñora	e ɲ o ɾ a
omar	o m a ɾ
ranquila	r a ɲ c i l a
riste	r i s t̪ e
in	i n
iéntense	j e n t̪ e n s e
iéntense	ɟʝ e n t̪ e n s e
ois	o i s
iga	i ɣ a
osiégate	o s j e ɣ a t̪ e
osiégate	o s j e ʝ e i t̪
ráigame	r a i ɣ a m e
no	n o
sted	s t̪ e ð
amos	a m o s
arias	a ɾ j a s
en	e n
encerán	e n θ e ɾ a n
enid	e n i ð
erlo	e r l o
erás	e ɾ a s
ienen	j e n e n
olvámonos	o l β a m o n o s
áyase	a ʝ a s e
advirtió	a ð β i r t̪ j o
afirmó	a f i r m o
añadió	a ɲ a ð j o
añadí	a ɲ a ð i
balbuceó	b a l β u θ e o
igue	i ʝ e
clamó	k l a m o
u	u
ubid	u β i ð
uplicome	u p l i k o m e
contesté	k o n t̪ e s t̪ e
ambién	a m b j e n
iéntate	j e n t̪ a t̪ e
iéntate	ɟʝ e n t̪ a t̪ e
contestó	k o n t̪ e s t̪ o
continué	k o n t̪ i n w e
antas	a n t̪ a s
emo	e m o
continuó	k o n t̪ i n w o
engo	e ŋ ɡ o
errible	e r i β l e
odo	o ð o
declaró	d̪ e k l a ɾ o
dije	d̪ i ç e
oma	o m a
onterías	o n t̪ e ɾ i a s
oltera	o l t̪ e ɾ a
ratad	r a t̪ a ð
dijeron	d̪ i ç e ɾ o n
ú	u
na	n a
nas	n a s
exclamaba	e k s k l a m a β a
exclamé	e k s k l a m e
ospecho	o s p e tʃ o
é	e
í	i
ólo	o l o
anto	a n t̪ o
exclamó	e k s k l a m o
grité	ɡ ɾ i t̪ e
aldesogo	a l d̪ e s o ɣ o
aya	a ʝ a
enga	e ŋ ɡ a
engan	e ŋ ɡ a n
erdad	e r ð a ð
ete	e t̪ e
gritó	ɡ ɾ i t̪ o
gruñó	ɡ ɾ u ɲ o
insistió	i n s i s t̪ j o
iviendo	i β j e n d̪ o
interrumpí	i n t̪ e r u m p i
enemos	e n e m o s
mugió	m u x j o
murmuró	m u r m u ɾ o
ienes	i e n e s
ienes	j e n e s
ome	o m e
rabajo	r a β a x o
objetó	o β ç e t̪ o
ribaldos	r i β a l d̪ o s
uestra	w e s t̪ ɾ a
ómala	o m a l a
preguntome	p ɾ e ɣ u n t̪ o m e
einte	e i n t̪ e
eo	e o
eremos	e ɾ e m o s
pregunté	p ɾ e ɣ u n t̪ e
preguntó	p ɾ e ɣ u n t̪ o
prosiguió	p ɾ o s i ɣ j o
olver	o l β e ɾ
olví	o l β i
repetí	r e p e t̪ i
ámonos	a m o n o s
repitió	r e p i t̪ j o
repliqué	r e p l i c e
afirmé	a f i r m e
repuse	r e p u s e
repuso	r e p u s o
respondí	r e s p o n d̪ i
chilló	tʃ i ʎ o
clamaron	k l a m a ɾ o n
según	s e ɣ u n
vociferó	b o θ i f e ɾ o
balbució	b a l β u θ j o
contestaba	k o n t̪ e s t̪ a β a
dmirable	d̪ m i ɾ a β l e
y	i
ah	a
ernuy	e r n u i
asarse	a s a r s e
decía	d̪ e θ i a
digo	d̪ i ɣ o
orne	o r n e
uidar	u i ð a ɾ
uidar	w i ð a ɾ
uánto	w a n t̪ o
oscientos	o s θ j e n t̪ o s
sos	s o s
spion	e s p j o n
dijimos	d̪ i ç i m o s
exclamaban	e k s k l a m a β a n
entra	e n t̪ ɾ a
ngleses	ŋ ɡ l e s e s
exclamamos	e k s k l a m a m o s
indicó	i n d̪ i k o
interrogó	i n t̪ e r o ɣ o
le	l e
les	l e s
rás	r a s
manifestó	m a n i f e s t̪ o
nos	n o s
observó	o β s e r β o
indiqué	i n d̪ i c e
interrumpió	i n t̪ e r u m p j o
me	m e
murmuré	m u r m u ɾ e
esús	e s u s
preguntaban	p ɾ e ɣ u n t̪ a β a n
ocura	o k u ɾ a
proseguí	p ɾ o s e ʝ i
repitieron	r e p i t̪ j e ɾ o n
alditos	a l d̪ i t̪ o s
respondió	r e s p o n d̪ j o
iedo	j e ð o
replicó	r e p l i k o
tales	t̪ a l e s
iserables	i s e ɾ a β l e s
bandonarme	b a n d̪ o n a r m e
siguió	s i ɣ j o
elos	e l o s
inco	i ŋ k o
oticias	o t̪ i θ j a s
onmigo	o m i ɣ o
erro	e r o
hí	i
uántas	w a n t̪ a s
obrecito	o β ɾ e θ i t̪ o
ómo	o m o
andido	a n d̪ i ð o
esconfías	e s k o n f i a s
ngrandecen	ŋ ɡ ɾ a n d̪ e θ e n
spías	e s p i a s
spías	s p i a s
uidado	u i ð a ð o
uidado	w i ð a ð o
ónde	o n d̪ e
ngañarte	n ɣ a ɲ a r t̪ e
ngañarte	ŋ ɡ a ɲ a r t̪ e
scribiros	s k ɾ i β i ɾ o s
arsa	a r s a
xtraño	k s t̪ ɾ a ɲ o
xtraño	s t̪ ɾ a ɲ o
ortificaciones	o r t̪ i f i k a θ j o n e s
uir	u i ɾ
uir	w i ɾ
angre	a ŋ ɡ ɾ e
atané	a t̪ a n e
nsolentes	n s o l e n t̪ e s
acayo	a k a ʝ o
alvado	a l β a ð o
enudas	e n u ð a s
oberbia	o β e r β j a
unante	u n a n t̪ e
ariar	a ɾ j a ɾ
ientras	i e n t̪ ɾ a s
ientras	j e n t̪ ɾ a s
iva	i β a
uelven	w e l β e n
enegilda	e n e ç i l d̪ a
ecios	e θ j o s
orir	o ɾ i ɾ
openco	o p e ŋ k o
erdido	e r ð i ð o
uscan	u s k a n
onoces	o n o θ e s
reso	r e s o
reerá	r e e ɾ a
risioneros	r i s j o n e ɾ o s
antorcaz	a n t̪ o r k a θ
uál	w a l
opa	o p a
abichuelas	a β i tʃ w e l a s
lama	l a m a
lorar	l o ɾ a ɾ
este	e s t̪ e
obrecitos	o β ɾ e θ i t̪ o s
ecesito	e θ e s i t̪ o
iensa	i e n s a
iensa	j e n s a
iensa	ɟʝ e n s a
ígueme	i ɣ e m e
ígueme	i ɣ w e m e
ígueme	i ʝ e m e
ontos	o n t̪ o s
ncrapaud	n k ɾ a p a u ð
ncrapaud	n p a u ð
ncrapaud	n tʃ a p a u ð
ncrapaud	n tʃ p a u ð
ncrapaud	n θ p a u ð
ncrapaud	ŋ k ɾ a p a u ð
ivid	i β i ð
uiere	j e ɾ e
uieres	j e ɾ e s
abes	a β e s
uia	j a
uia	u a ʝ a
enéis	e n e i s
uién	j e n
uién	u j e n
ué	e
ué	w e
econciliarle	e k o n θ i l j a r l e
una	u n a
ngel	n ʝ e l
ngel	ɲ ç e l
bdherrahmán	b a ð e r a ɾ a m a n
bdherrahmán	b e ð e a tʃ e e r a ɾ a m a n
bdherrahmán	b e ð e a tʃ e e r a ɾ a n
bdherrahmán	b e ð e a tʃ e r a ɾ a m a n
bdherrahmán	b ð e r a ɾ a m a n
braham	b ɾ a m
brazaron	b ɾ a θ a ɾ o n
entre	e n t̪ ɾ e
briéronse	b ɾ j e r o n s e
briéronse	b ɾ j e ɾ o n s e
reéis	r e e i s
erduras	e r ð u ɾ a s
bsorta	b s o r t̪ a
bsorta	β s o r t̪ a
ebo	e β o
cabé	k a β e
campó	k a m p o
dónde	d̪ o n d̪ e
ndáis	n d̪ a i s
caso	k a s o
cercaos	θ e r k a o s
rees	r e e s
minencia	m i n e n θ j a
cercándome	θ e r k a n d̪ o m e
cerqueme	θ e r c e m e
comodándome	k o m o ð a n d̪ o m e
cordamos	k o r ð a m o s
uándo	u a n d̪ o
uándo	w a n d̪ o
costumbrado	k o s t̪ u m b ɾ a ð o
ustan	u s t̪ a n
dentro	d̪ e n t̪ ɾ o
nfermo	n f e r m o
abló	a β l o
dmirablemente	d̪ m i ɾ a β l e m e n t̪ e
fligidos	f l i ç i ð o s
fra	f ɾ a
fán	f a n
ndiferente	n d̪ i f e ɾ e n t̪ e
ogia	o x j a
vacuáis	b a k w a i s
abéis	a β e i s
evantarme	e β a n t̪ a r m e
adres	a ð ɾ e s
ecando	e k a n d̪ o
gitose	ç i t̪ o s e
gosto	ɡ o s t̪ o
gradezco	ɡ ɾ a ð e θ k o
grupábanse	ɡ ɾ u p a β a n s e
guardemos	ɡ w a r ð e m o s
gustinillo	ɡ u s t̪ i n i ʎ o
largó	l a r ɣ o
lba	l β a
lba	β a
lberca	l β e r k a
uerréis	e r e i s
uerréis	u e r e i s
uerréis	w e r a ɾ e i s
uerréis	w e r e i s
uerréis	w e r ɾ e i s
lbuera	l β w e ɾ a
lcalá	l k a l a
lcolea	l k o l e a
lcudia	l k u ð j a
ldeaejada	l d̪ e a e x a ð a
ldeaejada	l d̪ e e x a ð a
ldeaejada	l d̪ e i e x a ð a
ldeaejada	l d̪ i e x a ð a
lejandro	l e x a n d̪ ɾ o
lejándome	l e x a n d̪ o m e
ariente	a ɾ j e n t̪ e
reguntáis	r e ɣ u n t̪ a i s
lguno	l ɣ u n o
lgún	l ɣ u n
ospechas	o s p e tʃ a s
ino	i n o
lmaguer	l m a ʝ e ɾ
lmenara	l m e n a ɾ a
yeme	ɟʝ e m e
ltamira	l t̪ a m i ɾ a
ardarás	a r ð a ɾ a s
bandoné	b a n d̪ o n e
maranta	m a ɾ a n t̪ a
biertas	b j e r t̪ a s
borrezco	b o r e θ k o
mbrosia	m b ɾ o s j a
miguito	m i ʝ i t̪ o
méricas	m e ɾ i k a s
brid	b ɾ i ð
nda	e n e ð e a
nda	n d̪ a
bril	b ɾ i l
brila	b ɾ i l a
ndalucía	n d̪ a l u θ i a
ndando	n d̪ a n d̪ o
brió	b ɾ j o
ndará	n d̪ a ɾ a
nduvimos	n d̪ u β i m o s
ndújar	n d̪ u x a ɾ
broñigal	b ɾ o ɲ i ɣ a l
cademia	k a ð e m j a
celerábase	θ e l e ɾ a β a s e
ngustias	a ŋ ɡ u s t̪ j a s
ngustias	x a ŋ ɡ u s t̪ j a s
ngustias	ŋ ɡ u s t̪ j a s
nna	n a
nimo	n i m o
nsina	n s i n a
cercáronse	θ e r k a r o n s e
cercáronse	θ e r k a ɾ o n s e
badía	b a ð i a
nte	e n e t̪ e e
comodáronme	k o m o ð a r o m e
comodáronme	k o m o ð a ɾ o m e
comodáronme	k o m o ð a ɾ o ŋ m e
benamar	b e n a m a ɾ
borrece	b o r e θ e
bracémonos	b ɾ a θ e m o n o s
brasábame	b ɾ a s a β a m e
briome	b ɾ j o m e
brí	b ɾ i
cababa	k a β a β a
cademias	k a ð e m j a s
cercose	θ e r k o s e
cercándose	θ e r k a n d̪ o s e
comodó	k o m o ð o
consejome	k o n s e x o m e
cordeme	k o r ð e m e
costumbrados	k o s t̪ u m b ɾ a ð o s
dornaba	d̪ o r n a β a
dvertí	d̪ β e r t̪ i
dvertí	ð β e r t̪ i
dvirtiose	d̪ β i r t̪ j o s e
dvirtiose	ð β i r t̪ j o s e
fortunadamente	f o r t̪ u n a ð a m e n t̪ e
costeme	k o s t̪ e m e
gregáronse	ɡ ɾ e ɣ a ɾ o n s e
nteo	n t̪ e o
ntero	n t̪ e ɾ o
cto	k t̪ o
cto	t̪ o
cudió	k u ð j o
guardamos	ɡ w a r ð a m o s
ntonieta	n t̪ o ɲ j e t̪ a
pagaba	p a ɣ a β a
cuñas	k u ɲ a s
parentaba	p a ɾ e n t̪ a β a
guinaldo	ɟ i n a l d̪ o
daja	d̪ a x a
delanteme	d̪ e l a n t̪ e m e
polo	p o l o
doro	d̪ o ɾ o
dour	d̪ o u ɾ
dour	d̪ u ɾ
duana	d̪ w a n a
dvierto	d̪ β j e r t̪ o
dvierto	ð β j e r t̪ o
poyando	p o ʝ a n d̪ o
gustinos	ɡ u s t̪ i n o s
dán	d̪ a n
fectando	f e ɣ t̪ a n d̪ o
guárdense	ɡ w a r ð e n s e
poyose	p o ʝ o s e
pretando	p ɾ e t̪ a n d̪ o
quel	c e l
quella	c e ʎ a
larmados	l a r m a ð o s
graviados	ɡ ɾ a β j a ð o s
grietábase	ɡ ɾ j e t̪ a β a s e
quello	c e ʎ o
guilar	ɟ i l a ɾ
racelis	r a θ e l i s
randa	r a n d̪ a
ranjuez	r a ŋ x w e θ
lcarria	l k a r j a
rapil	r a p i l
rapiles	r a p i l e s
gustín	ɡ u s t̪ i n
renal	r e n a l
gárrese	ɡ a r e s e
largué	l a r ʝ e
lbalat	l β a l a t̪
lbalat	l β a t̪
lbalat	l β a ð
lbalat	l β t̪
lbalat	β a l a t̪
lbalat	β a t̪
lbalat	β a ð
ldea	l d̪ e a
renas	r e n a s
lbricias	l β ɾ i θ j a s
ldeatejada	l d̪ e a t̪ e x a ð a
ldeatejada	l d̪ i t̪ e x a ð a
rganzuela	r ɣ a n θ w e l a
rjonilla	r x o n i ʎ a
lcaudete	l k a u ð e t̪ e
lerta	l e r t̪ a
lcé	e l e θ e
lcé	e l θ e
lcé	l θ e
lgunos	l ɣ u n o s
rrebatándome	a r e β a t̪ a n d̪ o m e
rrebatándome	r e β a t̪ a n d̪ o m e
rrebatándome	ɾ a r e β a t̪ a n d̪ o m e
lcón	l k o n
ldealuenga	l d̪ i l w e ŋ ɡ a
ldehuela	l d̪ e w e l a
lejandría	l e x a n d̪ ɾ i a
lfonso	l f o n s o
lmeida	l m e i ð a
lmunia	l m u ɲ j a
lgunas	l ɣ u n a s
rrojose	r o x o s e
rroyomolinos	r o ʝ o m o l i n o s
seguran	s e ɣ u ɾ a n
socieme	s o θ j e m e
sperges	e s p e r ç e s
sperges	s p e r ç e s
sturias	s t̪ u ɾ j a s
lta	l t̪ a
tacada	t̪ a k a ð a
tención	t̪ e n θ j o n
thenais	t̪ e n a i s
lteza	l t̪ e θ a
lzó	l θ o
manecía	m a n e θ i a
tiendan	t̪ j e n d̪ a n
mas	m a s
trajeron	t̪ ɾ a ç e ɾ o n
trevido	t̪ ɾ e β i ð o
usterlitz	u s t̪ e r l i ð θ
mbos	m b o s
ustrias	u s t̪ ɾ j a s
ndad	n d̪ a ð
vearía	b e a ɾ i a
ndrés	n d̪ ɾ e s
nduvieron	n d̪ u β j e ɾ o n
mé	m e
niceto	n i θ e t̪ o
nimarse	n i m a r s e
nspach	n s p a k
nspach	n s p a tʃ
nspach	n s p tʃ
ntequera	n t̪ e c e ɾ a
yúdanos	ɟʝ u ð a n o s
mérica	m e ɾ i k a
ncha	n tʃ a
ntonio	n t̪ o ɲ j o
zumbres	θ u m b ɾ e s
pacienta	p a θ j e n t̪ a
parteme	p a r t̪ e m e
abilafuente	a β i l a f w e n t̪ e
partámonos	p a r t̪ a m o n o s
presurado	p ɾ e s u ɾ a ð o
puesto	p w e s t̪ o
quiles	c i l e s
adajoz	a ð a x o θ
aden	a ð e n
ragón	r a ɣ o n
ailén	a i l e n
ailén	i l e n
ajando	a x a n d̪ o
ndresillo	n d̪ ɾ e s i ʎ o
altasarico	a l t̪ a s a ɾ i k o
altasarito	a l t̪ a s a ɾ i t̪ o
arca	a r k a
rde	r ð e
aronesas	a ɾ o n e s a s
arranco	a r a ŋ k o
rganda	r ɣ a n d̪ a
rgel	r ç e l
rgel	r ʝ e l
rgote	r ɣ o t̪ e
rjona	r x o n a
astilla	a s t̪ i ʎ a
ayona	a ʝ o n a
años	a ɲ o s
rma	r m a
ngosta	ŋ ɡ o s t̪ a
nimados	n i m a ð o s
earne	e a r n e
rmería	r m e ɾ i a
nsúrez	n s u ɾ e θ
enito	e n i t̪ o
erg	e r ɣ
ernardas	e r n a r ð a s
ernardo	e r n a r ð o
rregló	r e ɣ l o
rregló	ɾ a r e ɣ l o
rriba	r a ɾ i β a
rriba	r i β a
rribabajo	r a ɾ i β a β a x o
rribabajo	r i β a β a x o
rrojadas	r o x a ð a s
rrojadas	ɾ a r o x a ð a s
esándome	e s a n d̪ o m e
lake	l a c e
pagar	p a ɣ a ɾ
rroyos	a r o ʝ o s
rroyos	r o ʝ o s
rroyos	ɾ a r o ʝ o s
rtois	r t̪ o i s
ohemia	o e m j a
onaparte	o n a p a r t̪ e
rturo	r t̪ u ɾ o
sia	s j a
simismo	s i m i s m o
onapartes	o n a p a r t̪ e s
otellas	o t̪ e ʎ a s
partose	p a r t̪ o s e
penas	p e n a s
radford	r a ð f o r ð
ramaba	r a m a β a
somábase	s o m a β a s e
poyeme	p o ʝ e m e
prended	p ɾ e n d̪ e ð
sturiassu	s t̪ u ɾ i a s u
sturiassu	s t̪ u ɾ j a s a u
sturiassu	s t̪ u ɾ j a s u
taque	t̪ a c e
tila	t̪ i l a
tracción	t̪ ɾ a ɣ θ j o n
travesé	t̪ ɾ a β e s e
retaña	r e t̪ a ɲ a
trévete	t̪ ɾ e β e t̪ e
prisionados	p ɾ i s j o n a ð o s
ustria	u s t̪ ɾ j a
rillaban	r i ʎ a β a n
ruch	r u k
ruch	r u tʃ
ruscamente	r u s k a m e n t̪ e
ujalance	u x a l a n θ e
quellos	c e ʎ o s
urdeos	u r ð e o s
vancé	b a n θ e
vanzamos	b a n θ a m o s
uscaba	u s k a β a
vivé	b i β e
yer	ɟʝ e ɾ
zanza	θ a n θ a
ñadiome	ɲ a ð j o m e
uscaremos	u s k a ɾ e m o s
abarrús	a β a r a ɾ u s
abra	a β ɾ a
adenas	a ð e n a s
afarelli	a f a r e ʎ i
afarelli	a f a ɾ e ʎ i
alma	a l m a
ampillo	a m p i ʎ o
aena	a e n a
andelario	a n d̪ e l a ɾ j o
anencia	a n e n θ j a
anté	a n t̪ e
apitán	a p i t̪ a n
argan	a r ɣ a n
aja	a x a
ajo	a x o
aridad	a ɾ i ð a ð
arlos	a r l o s
altasar	a l t̪ a s a ɾ
arbero	a r β e ɾ o
arbou	a r β o u
armen	a r m e n
armona	a r m o n a
aro	a ɾ o
arolina	a ɾ o l i n a
arpio	a r p j o
arcelona	a ɾ θ e l o n a
arrabás	a r a β a s
arrilete	a r i l e t̪ e
astiana	a s t̪ j a n a
aviera	a β j e ɾ a
raucaine	r a u k a i n e
ris	r i s
arreras	a r e ɾ a s
arretas	a r e t̪ a s
rroiz	r a ɾ o i θ
rroiz	r o i θ
rroiz	r ɾ o i θ
ebed	e β e ð
endita	e n d̪ i t̪ a
enitos	e n i t̪ o s
erlín	e r l i n
ernardino	e r n a r ð i n o
astaños	a s t̪ a ɲ o s
astellanos	a s t̪ e ʎ a n o s
rrojad	r o x a ð
rroyo	a r o ʝ o
rroyo	r o ʝ o
astrejón	a s t̪ ɾ e x o n
astroverde	a s t̪ ɾ o β e r ð e
sido	s i ð o
sistió	s i s t̪ j o
spacito	e s p a θ i t̪ o
