du	d uː
abenteuer	aː b n̩ tʰ ɔʏ ɐ
abenteuer	aː b ə n tʰ ɔʏ ɐ
abendgesellschaften	aː b n̩ t ɡ ə z ɛ l ʃ a f tʰ n̩
abendgesellschaften	aː b ə n t ɡ ə z ɛ l ʃ a f tʰ n̩
abfahrtssignale	a p f aː ʁ t s z ɪ ɡ n aː l ə
abfahrtssignale	a p f aː ʁ ts z ɪ ɡ n aː l ə
abgedient	a p ɡ ə d ɪ n t
abgefaßten	a p ɡ ə f a s t n̩
abendraum	aː b n̩ t ʁ aw m
abenteuerlichen	aː b ə n tʰ ɔʏ ɐ l ɪ ç n̩
abgehandelt	a p ɡ ə h a n d ə l t
abendroten	aː b n̩ t ʁ oː tʰ n̩
aber	aː b ɐ
abgelegt	a p ɡ ə l eː k t
aberwitzig	aː b ɐ v ɪ ts ɪ k
aberwitzig	aː b ɐ v ɪ ts ɪ ç
abgemessenen	a p ɡ ə m ɛ s ə n n̩
abfahrtshalle	a p f aː ʁ ts h a l ə
abgeordneter	a p ɡ ə ɔ ʁ d n ə tʰ ɐ
abgearbeiteten	a p ɡ ə a ʁ b aj tʰ eː tʰ n̩
abgearbeiteten	a p ɡ ə a ʁ b aj tʰ ə tʰ n̩
abendwind	aː b n̩ t v ɪ n t
abgerissenes	a p ɡ ə ʁ ɪ s ə n ə s
abgedrückt	a p ɡ ə d ʁ ʏ k t
abgeschlossen	a p ɡ ə ʃ l ɔ s n̩
abgelebten	a p ɡ ə l eː p tʰ n̩
abendwolken	aː b n̩ t v ɔ l kʰ n̩
abgeschmackt	a p ɡ ə ʃ m a k t
abgemagert	a p ɡ ə m aː ɡ ɐ t
abgeschnitten	a p ɡ ə ʃ n ɪ tʰ n̩
abgeschossene	a p ɡ ə ʃ ɔ s ə n ə
abgestuft	a p ɡ ə ʃ t uː f t
abgesungen	a p ɡ ə z ʊ ŋ n̩
abgewendet	a p ɡ ə v ɛ n d ə t
abgrund	a p ɡ ʁ ʊ n t
abgründe	a p ɡ ʁ ʏ n d ə
abgemäht	a p ɡ ə m eː t
abgeordnete	a p ɡ ə ɔ ʁ d n ə tʰ ə
abhanden	a p h a n d n̩
abermals	aː b ɐ m aː l s
abgereiset	a p ɡ ə ʁ aj s ə t
abgereiset	a p ɡ ə ʁ aj z ə t
abgeschiedenheit	a p ɡ ə ʃ iː d n̩ h aj t
abgeschiedenheit	a p ɡ ə ʃ iː d ə n h aj t
abessiniern	a p s iː n ɪ ɐ n
abgeschnittenes	a p ɡ ə ʃ n ɪ tʰ ə n ə s
abheben	a p h eː b n̩
abfindung	a p f ɪ n d ʊ ŋ
abgebläut	a p ɡ ə b l ɔʏ t
abgebrochenen	a p ɡ ə b ʁ ɔ x n̩ ɛ n
abgelaufen	a p ɡ ə l aw f n̩
abgelegenes	a p ɡ ə l eː ɡ ə n ə s
abgeordneten	a p ɡ ə ɔ ʁ d n ə tʰ n̩
abgerichtete	a p ɡ ə ʁ ɪ ç tʰ ə tʰ ə
abhieltet	a p h ɪ ɛ l tʰ ə t
abhänge	a p h ɛ ŋ ə
abhängt	a p h ɛ ŋ t
ablegen	a p l eː ɡ n̩
abgeschlagen	a p ɡ ə ʃ l aː ɡ n̩
abgesehen	a p ɡ ə z eː n̩
abließen	a p l iː s n̩
abgespanntheit	a p ɡ ə ʃ p a n t h aj t
abmühtet	a p m yː tʰ ə t
abgeschmackte	a p ɡ ə ʃ m a k tʰ ə
abgetöteten	a p ɡ ə tʰ øː tʰ eː tʰ n̩
abgetöteten	a p ɡ ə tʰ øː tʰ ə tʰ n̩
abnormsten	a p n ɔ ʁ m s t n̩
abgeschossen	a p ɡ ə ʃ ɔ s n̩
abgrunde	a p ɡ ʁ ʊ n d ə
abhalte	a p h a l tʰ ə
abhandlung	a p h a n d l ʊ ŋ
abhinge	a p h ɪ ŋ ə
abgesessen	a p ɡ ə z ɛ s n̩
abgesucht	a p ɡ ə z uː x t
abgesucht	a p ɡ ə z ʊ x t
abgetan	a p ɡ ə tʰ aː n
abhold	a p h ɔ l t
abreisen	a p ʁ aj z n̩
abscheu	a p ʃ ɔʏ
abscheulich	a p ʃ ɔʏ l ɪ ç
abgewiesen	a p ɡ ə v iː z n̩
abhängig	a p h ɛ ɲ ɪ ç
abscheulichen	a p ʃ ɔʏ l ɪ ç n̩
abscheuliches	a p ʃ ɔʏ l ɪ ç ə s
abschied	a p ʃ iː t
abschiedskuß	a p ʃ iː ts c aw s
abschiedskuß	a p ʃ iː ts c s
abschiedskuß	a p ʃ iː ts k uː s
abschiedskuß	a p ʃ iː ts k ʊ s
abschiedskuß	a p ʃ iː ts k ʊ s t s ɛ t
abschneiden	a p ʃ n aj d n̩
absichtlich	a p z ɪ ç t l ɪ ç
abspieglung	a p ʃ p iː ɡ l ʊ ŋ
abstammt	a p ʃ t a m t
abgrundes	a p ɡ ʁ ʊ n d ə s
abhandengekommen	a p h a n d n̩ ɡ ə kʰ ɔ m n̩
abhandengekommen	a p h a n d ə n ɡ ə kʰ ɔ m n̩
abkömmling	a p cʰ œ m l ɪ ŋ
abließ	a p l iː s
abmessen	a p m ɛ s n̩
abonnierte	a b ɔ n iː ɐ tʰ ə
absagen	a p z aː ɡ n̩
abkunft	a p kʰ ʊ n f t
absatz	a p z a ts
absurdität	a p z ʊ ʁ d ɪ tʰ eː t
ablehnen	a p l eː n n̩
abscheuliche	a p ʃ ɔʏ l ɪ ç ə
abscheulicher	a p ʃ ɔʏ l ɪ ç ɐ
abnormen	a p n ɔ ʁ m n̩
abscheulichkeit	a p ʃ ɔʏ l ɪ ç kʰ aj t
abwandte	a p v a n tʰ ə
abrede	a p ʁ eː d ə
abschiedsgrüße	a p ʃ iː ts ɡ ʁ yː s ə
abschiedsgrüße	a p ʃ iː ts ɡ ʁ ʏ s ə
abschloß	a p ʃ l oː s
abreise	a p ʁ aj z ə
abwechselnd	a p v ɛ k s l̩ n t
abwechselnd	a p v ɛ k s ə l n t
absage	a p z aː ɡ ə
absangen	a p z a ŋ n̩
abscheues	a p ʃ ɔʏ ə s
abscheulichem	a p ʃ ɔʏ l ɪ ç m̩
abscheulicheres	a p ʃ ɔʏ l ɪ ç ə ʁ ə s
abspenstig	a p ʃ p ɛ n s t ɪ k
abspenstig	a p ʃ p ɛ n s t ɪ ç
abspinnt	a p ʃ p ɪ n t
abstamme	a p ʃ t a m ə
abstufung	a p ʃ t uː f ʊ ŋ
abt	a p t
abtrat	a p t ʁ aː t
abts	a p t s
abwarten	a p v a ʁ tʰ n̩
abwechslung	a p v ɛ k s l ʊ ŋ
abweichenden	a p v aj ç ə n d n̩
abweisen	a p v aj z n̩
abscheus	a p ʃ ɔʏ s
abwärts	a b v ɛ ʁ ts
abwärts	a p v ɛ ʁ ts
abzubläuen	a p ts uː b l ɔʏ n̩
abzubläuen	a p ts ʊ b l ɔʏ n̩
abschiede	a p ʃ iː d ə
abwesenheit	a p v eː z ə n h aj t
abzurichten	a p ts uː ʁ ɪ ç tʰ n̩
abzuwarten	a p ts uː v a ʁ tʰ n̩
abschlossen	a p ʃ l ɔ s n̩
abzuwenden	a p ts uː v ɛ n d n̩
abzugehen	a p ts uː ɟ eː n̩
absicht	a p z ɪ ç t
acht	a x t
abzustehen	a p ts uː ʃ t eː n̩
absonderlichen	a p z ɔ n d ɐ l ɪ ç n̩
abstattete	a p ʃ t a tʰ ə tʰ ə
abtrünnig	a p t ʁ ʏ n ɪ k
abtrünnig	a p t ʁ ʏ n ɪ ç
achten	a x tʰ n̩
abzuweichen	a p ts uː v aj ç n̩
achtend	a x tʰ n̩ t
achtmal	a x t m aː l
achtzehn	a x ts eː n
ach	a x
abwege	a p v eː ɡ ə
achtzigjährige	a x ts ɪ ç j eː ʁ ɪ ɡ ə
achseln	a k s ə l n
achtet	a x tʰ ə t
achtung	a x tʰ ʊ ŋ
achtziger	a x ts ɪ ɡ ɐ
adel	a d eː l
adel	aː d l̩
adelgunde	aː d ə l ɡ ʊ n d ə
abwehr	a b v ɛ ɐ
abwehr	a p v eː ɐ
abwehr	a p v ɛ ɐ
adelgunden	aː d ə l ɡ ʊ n d n̩
abwesend	a p v eː z ə n t
abwies	a p v iː s
abzeichnete	a p ts aj ç n ə tʰ ə
abzuschließen	a p ts uː ʃ l iː s n̩
adeligen	a d eː l ɪ ɡ n̩
adelgundens	aː d ə l ɡ ʊ n d ə n s
aden	a d ɛ n
adern	aː d ɐ n
adlerkrallen	aː d l ɐ k ʁ a l n̩
aderlassen	aː d ɐ l a s n̩
adligen	aː d l ɪ ɡ n̩
admiralsschiff	a t m ɪ ʁ aː l s ʃ ɪ f
abzustreifen	a p ts uː ʃ t ʁ aj f n̩
afrikahimmel	a f ʁ ɪ kʰ aː h ɪ m l̩
afrikahimmel	a f ʁ ɪ kʰ ə h ɪ m l̩
afrikanische	a f ʁ ɪ kʰ aː n ɪ ʃ ə
ahnet	aː n ə t
ahnte	aː n tʰ ə
abzuziehen	a p ts uː ts iː n̩
ahnung	aː n ʊ ŋ
ahornbäume	aː h ɔ ʁ n b ɔʏ m ə
akt	a k t
akts	a k t s
akziseeinnehmer	a k ts iː z aj n eː m ɐ
akziseeinnehmer	a k ts iː z ə aj n eː m ɐ
adliger	aː d l ɪ ɡ ɐ
achte	a x tʰ ə
alberner	a l b ɐ n ɐ
albernheit	a l b ɐ n h aj t
adressen	a d ʁ ɛ s n̩
affe	a f ə
affenherde	a f n̩ h eː ɐ d ə
affenherde	a f n̩ h eː ʁ d ə
afrikaner	a f ʁ ɪ kʰ aː n ɐ
ah	aː
ahne	aː n ə
ahnen	aː n n̩
ahnungen	aː n ʊ ŋ n̩
akkorde	a kʰ ɔ ʁ d ə
albernste	a l b ɐ n s t ə
aline	a l iː n ə
achtete	a x tʰ ə tʰ ə
achtungbezeugend	a x tʰ ʊ ŋ b ə ts ɔʏ ɡ n̩ t
achtungbezeugend	a x tʰ ʊ ŋ b ə ts ɔʏ ɡ ə n t
adelige	a d eː l ɪ ɡ ə
adels	aː d ə l s
ader	aː d ɐ
adieu	a d iː ɔʏ
adler	aː d l ɐ
adlige	aː d l ɪ ɡ ə
admiral	a t m ɪ ʁ aː l
aehl	a eː l
aehl	a l
aehl	aː l
aehl	aː ɛ eː l
aehl	aː ɛ l
aehls	a l s
aehls	aː l s
aehls	aː ɛ eː l s
aehls	aː ɛ l s
affen	a f n̩
afrika	a f ʁ ɪ kʰ a
afrikanegern	a f ʁ ɪ kʰ aː n eː ɡ ɐ n
afrikanegern	a f ʁ ɪ kʰ ə n eː ɡ ɐ n
afrikanegern	a f ʁ ɪ kʰ ə n ɛ ɡ ɐ n
ahnendes	aː n ə n d ə s
aimable	ɛ ɪ m aː b l ə
aktenstück	a k tʰ n̩ ʃ t ʏ k
albern	a l b ə ʁ n
alberne	a l b ɐ n ə
albernen	a l b ɐ n n̩
albernes	a l b ɐ n ə s
albernes	a l b ə ʁ n ə s
albernheiten	a l b ɐ n h aj tʰ n̩
alexandrien	a l ɛ k s a n d ʁ iː n̩
alexandrien	a l ɛ k s a n d ʁ ɪ n̩
alinen	a l iː n n̩
alkohol	a l kʰ ɔ h oː l
alkoholgasen	a l kʰ ɔ h oː l ɡ aː z n̩
alkoholgasen	a l kʰ ɔ h ɔ l ɡ aː z n̩
alinens	a l aj n ə n s
alinens	a l iː n ə n s
alinens	a l ɪ n ə n s
alkoholatem	a l kʰ ɔ h oː l aː tʰ m̩
alkoholdunst	a l kʰ ɔ h oː l d ʊ n s t
alkoholdunst	a l kʰ ɔ h oː l tʰ ʊ n s t
alkoholdunst	a l kʰ ɔ h ɔ l d ʊ n s t
alle	a l ə
all	a l
allein	a l aj n
alkoholwolke	a l kʰ ɔ h oː l v ɔ l kʰ ə
allem	a l m̩
allemal	a l ə m aː l
alleinige	a l aj n ɪ ɡ ə
allen	a l n̩
aller	a l ɐ
allenfalls	a l ə n f a l s
allerdings	a l ɐ d ɪ ŋ s
allergrößte	a l ɛ ʁ ɡ ʁ øː s t
allergrößte	a l ɛ ʁ ɡ ʁ øː s t ə
allerlei	a l ɐ l aj
allereinfachste	a l ɐ aj n f a x s t ə
allerliebsten	a l ɐ l iː p s t n̩
allerliebste	a l ɐ l iː p s t ə
allerliebst	a l ɐ l iː p s t
allerschlimmsten	a l ɐ ʃ l ɪ m s t n̩
allerliebster	a l ɐ l iː p s t ɐ
alles	a l ə s
allgemein	a l ɡ ə m aj n
allmacht	a l m a x t
allgemeines	a l ɡ ə m aj n ə s
allmählich	a l m eː l ɪ ç
alltagskleidern	a l tʰ aː k s k l aj d ɐ n
almandin	a l m a n d ɪ n
als	a l s
alsdann	a l s d a n
alt	a l t
altan	a l tʰ aː n
altane	a l tʰ aː n ə
altanengeländer	a l tʰ aː n ə n ɡ ə l ɛ n d ɐ
altans	a l tʰ aː n s
alte	a l tʰ ə
alten	a l tʰ n̩
alter	a l tʰ ɐ
alter	a l tʰ ə ʁ
alsbald	a l s b a l t
allgemeinen	a l ɡ ə m aj n n̩
also	a l z oː
alters	a l tʰ ɐ s
allmächtiger	a l m ɛ ç tʰ ɪ ɡ ɐ
altes	a l tʰ ə s
alltagstunden	a l tʰ a k ʃ t ʊ n d n̩
altmodischen	a l t m oː d ɪ ʃ n̩
almosen	a l m oː z n̩
altanen	a l tʰ aː n n̩
am	a m
amagata	a m a ɡ a tʰ a
altanenrand	a l tʰ aː n n̩ ʁ a n t
altanrand	a l tʰ a n ʁ a n t
altbekannten	a l t b ə kʰ a n tʰ n̩
altanecke	a l tʰ a n ɛ kʰ ə
altanecke	a l tʰ aː n ɛ kʰ ə
altangeländer	a l tʰ a n ɡ ə l ɛ n d ɐ
altermann	a l tʰ ɐ m a n
altermännern	a l tʰ ɐ m ɛ n ɐ n
amazu	a m a ts uː
altväterischen	a l t f eː tʰ ə ʁ ɪ ʃ n̩
amaryllen	a m a ʁ ʏ l n̩
ameisen	aː m aj z n̩
ameisenräuber	aː m aj z n̩ ʁ ɔʏ b ɐ
ameisenräuber	aː m aj z n̩ ʁ ɔʏ b ə ʁ
amerikanische	a m ɛ ʁ ɪ kʰ aː n ɪ ʃ ə
ammen	a m n̩
an	a n
ambrosius	a m b ʁ ɔ z j ʊ s
amerikaner	a m ɛ ʁ ɪ kʰ aː n ɐ
anachoret	a n a oː ʁ eː t
anachoret	a n a ɔ ʁ eː t
anatomen	a n a tʰ oː m n̩
anbieten	a n b iː tʰ n̩
anblicks	a n b l ɪ k s
anblinzelt	a n b l ɪ n ts l̩ t
andenken	a n d ɛ ŋ kʰ n̩
andere	a n d ə ʁ ə
amerikanischen	a m ɛ ʁ ɪ kʰ aː n ɪ ʃ n̩
anachoreten	a n a oː ʁ eː tʰ n̩
anblick	a n b l ɪ k
amagatas	a m a ɡ a tʰ a s
ambulierender	a m b ʊ l iː ʁ ə n d ɐ
amerikanern	a m ɛ ʁ ɪ kʰ aː n ɐ n
amethysten	a m ɛ tʰ ʏ s t n̩
amme	a m ə
anblicken	a n b l ɪ kʰ n̩
anderem	a n d ə ʁ m̩
amoretten	a m ɔ ʁ ɛ tʰ n̩
anbetung	a n b eː tʰ ʊ ŋ
anblickte	a n b l ɪ k tʰ ə
andacht	a n d a x t
anderen	a n d ə ʁ n̩
anderes	a n d ə ʁ ə s
anderer	a n d ə ʁ ɐ
anderm	a n d ɐ m
anbruch	a n b ʁ ʊ x
andern	a n d ɐ n
anders	a n d ɐ s
andröhnen	a n d ʁ øː n n̩
andächtig	a n d ɛ ç tʰ ɪ k
andächtig	a n d ɛ ç tʰ ɪ ç
aneinander	a n aj n a n d ɐ
anderwärts	a n d ɐ v ɛ ʁ t s
anderwärts	a n d ɐ v ɛ ʁ ts
andächtigen	a n d ɛ ç tʰ ɪ ɡ n̩
anerkenne	a n ɛ ʁ cʰ ɛ n ə
anerkennt	a n ɛ ʁ cʰ ɛ n t
aneinandergelegten	a n aj n a n d ɐ ɡ ə l eː k tʰ n̩
anfahren	a n f aː ʁ n̩
anfang	a n f a ŋ
anfangs	a n f a ŋ s
anfangen	a n f a ŋ n̩
anführt	a n f yː ɐ t
andre	a n d ʁ ə
andächtiges	a n d ɛ ç tʰ ɪ ɡ ə s
anekeln	a n eː kʰ l̩ n
anekeln	a n eː kʰ ə l n
anerkennen	a n ɛ ʁ cʰ ɛ n n̩
anerkenntnis	a n ɛ ʁ cʰ ɛ n t n ɪ s
anführe	a n f yː ʁ ə
angab	a n ɡ aː p
angab	a ŋ ɡ aː p
angafften	a ŋ a f tʰ n̩
angabe	a n ɡ aː b ə
angebetete	a ɲ ɟ eː b ə tʰ eː tʰ ə
angeborner	a n ɡ ə b oː ɐ n ɐ
angeben	a ɲ ɟ eː b n̩
angebrochen	a n ɡ ə b ʁ ɔ x n̩
angebetet	a n ɡ ə b eː tʰ ə t
angebetet	a ɲ ɟ eː b ə tʰ eː t
angefallen	a n ɡ ə f a l n̩
angebliche	a ɲ ɟ eː p l ɪ ç ə
angeboren	a n ɡ ə b oː ʁ n̩
angefüllt	a n ɡ ə f ʏ l t
angegriffen	a n ɡ ə ɡ ʁ ɪ f n̩
angehöre	a n ɡ ə h øː ʁ ə
angehören	a n ɡ ə h øː ʁ n̩
angehört	a n ɡ ə h øː ʁ t
angebracht	a n ɡ ə b ʁ a x t
angedeutet	a n ɡ ə d ɔʏ tʰ ə t
angefacht	a n ɡ ə f a x t
angeklagten	a n ɡ ə k l aː k tʰ n̩
angefeuert	a n ɡ ə f ɔʏ ɐ t
angefangen	a n ɡ ə f a ŋ n̩
angekommen	a n ɡ ə kʰ ɔ m n̩
angegeben	a n ɡ ə ɟ eː b n̩
angeguckt	a n ɡ ə ɡ ʊ k t
angehe	a ɲ ɟ eː ə
angeküßt	a n ɡ ə cʰ yː s t
angeküßt	a n ɡ ə cʰ ʏ s t
angelangt	a ŋ ə l a ŋ t
angehörigen	a n ɡ ə h øː ʁ ɪ ɡ n̩
angehörige	a n ɡ ə h øː ʁ ɪ ɡ ə
angelegen	a n ɡ ə l eː ɡ n̩
angeklagte	a n ɡ ə k l aː k tʰ ə
angeklagt	a n ɡ ə k l aː k t
angekränkelten	a n ɡ ə k ʁ ɛ ŋ kʰ ə l tʰ n̩
angelegenheit	a n ɡ ə l eː ɡ ə n h aj t
angelegt	a n ɡ ə l eː k t
angelegenheiten	a n ɡ ə l eː ɡ ə n h aj tʰ n̩
angemauert	a n ɡ ə m aw ɐ t
angelte	a ŋ ə l tʰ ə
angenehmer	a n ɡ ə n eː m ɐ
angenehme	a n ɡ ə n eː m ə
angenommen	a n ɡ ə n ɔ m n̩
angelaufen	a n ɡ ə l aw f n̩
angenehmes	a n ɡ ə n eː m ə s
angeputzte	a n ɡ ə pʰ ʊ ts t ə
angeregt	a n ɡ ə ʁ eː k t
angelehnt	a n ɡ ə l eː n t
angeredet	a n ɡ ə ʁ eː d ə t
angesagt	a n ɡ ə z aː k t
angenehm	a n ɡ ə n eː m
angerichtet	a n ɡ ə ʁ ɪ ç tʰ ə t
angeschaut	a n ɡ ə ʃ aw t
angenehmen	a n ɡ ə n eː m n̩
angeschlagen	a n ɡ ə ʃ l aː ɡ n̩
angesehen	a n ɡ ə z eː n̩
angesehene	a n ɡ ə z eː n ə
angesehensten	a n ɡ ə z eː ə n s t n̩
angesprochen	a n ɡ ə ʃ p ʁ ɔ x n̩
angetan	a n ɡ ə tʰ aː n
angenehmsten	a n ɡ ə n eː m s t n̩
angetroffen	a n ɡ ə t ʁ ɔ f n̩
angewendet	a n ɡ ə v ɛ n d ə t
angesehenen	a n ɡ ə z eː n n̩
angesehenen	a n ɡ ə z eː ə n n̩
angerührten	a n ɡ ə ʁ yː ɐ tʰ n̩
angesessenen	a n ɡ ə z ɛ s ə n n̩
angezogen	a n ɡ ə ts oː ɡ n̩
angeschlossen	a n ɡ ə ʃ l ɔ s n̩
angestarrt	a n ɡ ə ʃ t a ʁ t
angingen	a ɲ ɟ ɪ ŋ n̩
angriffen	a n ɡ ʁ ɪ f n̩
angesehener	a n ɡ ə z eː n ɐ
angetrieben	a n ɡ ə t ʁ iː b n̩
angstgeschrei	a ŋ s t ɡ ə ʃ ʁ aj
angesicht	a n ɡ ə z ɪ ç t
angewandt	a n ɡ ə v a n t
anhöhe	a n h øː ə
angesichts	a n ɡ ə z ɪ ç t s
angesichts	a n ɡ ə z ɪ ç ts
ankaufs	a n kʰ aw f s
angestellt	a n ɡ ə ʃ t ɛ l t
angezündet	a n ɡ ə ts ʏ n d ə t
anklage	a n k l aː ɡ ə
angriffe	a n ɡ ʁ ɪ f ə
anklebe	a n k l eː b ə
ankommen	a n kʰ ɔ m n̩
angst	a ŋ s t
angetrunkener	a n ɡ ə t ʁ ʊ ŋ kʰ ə n ɐ
ankunft	a n kʰ ʊ n f t
anlage	a n l aː ɡ ə
angstvollen	a ŋ s t f ɔ l n̩
anlaß	a n l a s
anlaß	a n l aː s
anlaß	a n l s
anlaß	a n l ɛ s
anhänge	a n h ɛ ŋ ə
angreifen	a n ɡ ʁ aj f n̩
anlegen	a n l eː ɡ n̩
anmaßend	a n m aː s n̩ t
anmaßend	a n m aː s ə n t
angstschweiß	a ŋ s t ʃ v aj s
anker	a ŋ kʰ ɐ
anhielt	a n h iː l t
anmaßung	a n m aː s ʊ ŋ
anklagte	a n k l aː k tʰ ə
animalia	a n ɪ m aː l ɪ a
anknüpfen	a n k n ʏ pf n̩
anmessen	a n m ɛ s n̩
anklagen	a n k l aː ɡ n̩
anmutig	a n m uː tʰ ɪ k
anmutig	a n m uː tʰ ɪ ç
ankündigten	a ɲ cʰ ʏ n d ɪ ç tʰ n̩
anlegten	a n l eː k tʰ n̩
anmutiger	a n m uː tʰ ɪ ɡ ɐ
ankleidens	a n k l aj d n̩ s
ankleidens	a n k l aj d ə n s
anmaßendes	a n m aː s n̩ d ə s
anmelden	a n m ɛ l d n̩
anmutige	a n m uː tʰ ɪ ɡ ə
anmutigsten	a n m uː tʰ ɪ ç s t n̩
annehmen	a n eː m n̩
anmutigste	a n m uː tʰ ɪ ç s t ə
ankämpfte	a ɲ cʰ ɛ m f tʰ ə
annahm	a n aː m
annäherung	a n eː ə ʁ ʊ ŋ
anrede	a n ʁ eː d ə
anredete	a n ʁ eː d ə tʰ ə
annähern	a n eː ə ʁ n
anlächelte	a n l ɛ ç ə l tʰ ə
anrief	a n ʁ iː f
anpriesen	a n p ʁ iː z n̩
anmut	a n m uː t
ans	a n s
ans	a ŋ s
ansah	a n z aː
anschaute	a n ʃ aw tʰ ə
anschlagenden	a n ʃ l aː ɡ ə n tʰ n̩
ansehen	a n z eː n̩
ansehnliche	a n z eː n l ɪ ç ə
ansicht	a n z ɪ ç t
anmutigen	a n m uː tʰ ɪ ɡ n̩
ansieht	a n z iː t
anredeten	a n ʁ eː d ə tʰ n̩
anmutiges	a n m uː tʰ ɪ ɡ ə s
anrühre	a n ʁ yː ʁ ə
annimmt	a n ɪ m t
anschauen	a n ʃ aw n̩
anpflanzte	a n pf l a n ts t ə
anspruch	a n ʃ p ʁ ʊ x
anschlag	a n ʃ l aː k
anschlägen	a n ʃ l eː ɡ n̩
anspruchslosigkeit	a n ʃ p ʁ ʊ x s l oː z ɪ ç kʰ aj t
anstandes	a n ʃ t a n d ə s
anstarrte	a n ʃ t a ʁ tʰ ə
ansteht	a n ʃ t eː t
anstellte	a n ʃ t ɛ l tʰ ə
anstrengung	a n ʃ t ʁ ɛ ŋ ʊ ŋ
anteil	a n tʰ aj l
antlitz	a n t l ɪ ts
antlitzes	a n t l ɪ ts ə s
antrag	a n t ʁ aː k
antragen	a n t ʁ aː ɡ n̩
anschlösse	a n ʃ l œ s ə
antust	a n tʰ uː s t
anprobierten	a n p ʁ ɔ b iː ʁ tʰ n̩
antwort	a n t v ɔ ʁ t
anrufen	a n ʁ uː f n̩
ansahen	a n z aː n̩
anschließende	a n ʃ l iː s n̩ d ə
antworten	a n t v ɔ ʁ tʰ n̩
anschüren	a n ʃ yː ʁ n̩
anschüren	a n ʃ ʏ ʁ n̩
ansehnlichen	a n z eː n l ɪ ç n̩
antwortete	a n t v ɔ ʁ tʰ ə tʰ ə
ansiehst	a n z iː s t
ansehung	a n z eː ʊ ŋ
ansetzt	a n z ɛ ts t
ansichten	a n z ɪ ç tʰ n̩
anspielungen	a n ʃ p iː l ʊ ŋ n̩
ansprüche	a n ʃ p ʁ ʏ ç ə
anstalt	a n ʃ t a l t
anvertrautes	a n f ɛ ʁ t ʁ aw tʰ ə s
anstalten	a n ʃ t a l tʰ n̩
anstand	a n ʃ t a n t
anwenden	a n v ɛ n d n̩
ansprach	a n ʃ p ʁ aː x
anstande	a n ʃ t a n d ə
anwendung	a n v ɛ n d ʊ ŋ
anziehn	a n ts iː n̩
anzufangen	a n ts uː f a ŋ n̩
anzuge	a n ts uː ɡ ə
anstarrt	a n ʃ t a ʁ t
anzugeben	a n ts uː ɟ eː b n̩
anzugreifen	a n ts uː ɡ ʁ aj f n̩
anzuhören	a n ts uː h øː ʁ n̩
anzuordnen	a n ts uː ɔ ʁ t n n̩
anstatt	a n ʃ t a t
anzurühren	a n ts uː ʁ yː ʁ n̩
ansteigenden	a n ʃ t aj ɡ n̩ d n̩
ansteigenden	a n ʃ t aj ɡ ə n d n̩
anzusehen	a n ts uː z eː n̩
ansprüchen	a n ʃ p ʁ ʏ ç n̩
anstarrend	a n ʃ t a ʁ ə n t
